passengerId,prediction
1248,1
650,1
680,1
528,1
266,1
312,1
477,1
678,1
915,1
922,1
931,1
322,1
26,1
1064,1
900,1
428,1
989,1
354,1
959,1
1185,1
1030,1
744,1
357,1
60,1
894,1
1205,1
767,0
358,1
562,0
86,1
450,1
934,1
948,1
1283,1
294,1
432,1
171,1
902,0
749,1
966,1
1249,1
1138,1
1245,1
198,1
1173,1
178,1
1073,1
1013,1
472,1
853,1
1269,1
223,0
761,1
235,0
476,0
374,1
425,1
1078,1
836,1
49,0
950,1
251,1
795,1
544,0
225,1
690,1
1113,0
1143,1
506,0
1258,1
133,1
568,1
151,0
889,1
1052,0
885,1
826,1
240,1
504,0
664,0
1046,0
1026,0
937,1
475,0
163,0
360,1
184,0
1225,1
938,1
579,0
1047,1
284,1
860,1
634,0
943,1
493,0
424,0
292,1
515,1
334,0
438,0
1037,0
921,0
1002,0
706,0
728,1
692,0
451,0
1149,0
1196,0
116,1
1134,0
984,1
1083,1
716,0
345,0
350,0
209,1
649,1
437,1
239,0
593,0
21,0
257,0
703,0
1188,0
1304,1
224,0
729,0
549,0
1062,0
925,0
1293,1
763,0
259,1
1049,0
907,1
134,0
570,0
501,1
531,0
30,0
753,0
431,0
27,0
1033,1
560,1
494,1
96,0
1279,1
97,0
798,0
44,0
803,1
132,0
179,0
107,0
661,0
707,0
72,1
720,1
685,0
114,0
384,0
607,0
910,0
573,0
323,1
1184,0
247,0
965,0
1126,0
8,0
648,0
762,0
9,0
794,0
788,0
1142,0
1146,1
833,0
189,0
1048,0
1288,0
399,0
1098,1
1024,0
1180,0
801,0
1209,0
353,0
667,0
859,0
220,0
879,0
313,0
880,0
123,0
1038,0
446,0
13,0
738,0
533,0
640,0
387,1
936,1
278,1
1112,0
1277,1
443,0
474,0
497,0
606,1
486,0
1187,0
414,0
1223,0
867,0
1,0
712,0
248,0
1246,0
891,0
1266,0
842,0
578,0
172,0
722,0
84,0
213,1
452,0
1155,0
523,0
1254,0
307,0
1214,0
507,0
577,1
23,0
77,0
1093,0
995,0
480,0
1220,0
143,0
949,0
990,0
952,0
537,0
228,0
326,0
115,1
54,0
1216,0
1120,0
129,0
964,0
94,0
141,0
300,1
131,1
700,0
1028,0
513,0
51,0
619,0
362,0
203,0
969,0
614,1
510,0
409,0
1286,1
1085,1
479,0
923,0
1036,1
498,0
622,0
974,0
144,0
22,0
1060,0
85,0
70,1
958,0
829,0
862,0
120,0
4,0
552,0
246,0
272,0
1215,0
742,1
808,1
730,0
546,0
1228,1
483,0
330,0
657,0
236,0
252,0
696,0
1201,0
164,0
811,0
554,1
327,0
662,0
904,0
282,0
895,0
1281,1
929,0
522,0
130,1
397,0
518,0
874,0
24,1
500,0
154,0
102,0
977,0
125,1
591,0
1204,0
721,0
